ID,images,time origin,amplitude,time delays,magnifications,redshift,noise level
0.01419557832,2,55000.0,0.0445,[ 0.   11.58],[1.46 1.01],1.3563,0.1176
0.00023221836000000002,4,55000.0,0.033,[ 0.   10.36 21.8  36.54],[1.52 1.44 1.47 1.51],1.9547,0.0009
0.0071041151999999995,2,55000.0,0.0494,[ 0.   11.86],[1.07 1.57],1.0272,0.07
0.0011325468,2,55000.0,0.033,[0.   5.51],[1.06 1.04],1.751,0.0098
0.00332874528,1,55000.0,0.0696,[0],[1.49],2.0615,0.0232
0.004160312709000001,1,55000.0,0.0357,[0],[1.8],2.0699,0.0563
0.018665534088,1,55000.0,0.0436,[0],[1.64],2.4146,0.1773
0.002528175085,1,55000.0,0.0155,[0],[1.58],1.9867,0.0821
0.030451306895999997,3,55000.0,0.0452,[ 0.    7.17 21.3 ],[1.72 1.85 1.45],1.6561,0.1356
0.006316872996000001,4,55000.0,0.0151,[ 0.    6.82 13.74 28.69],[1.77 1.27 1.4  1.2 ],2.1653,0.0483
0.00314146326,1,55000.0,0.0845,[0],[1.17],1.5753,0.0236
0.027786540348000002,2,55000.0,0.0441,[ 0.   12.58],[1.35 1.77],2.0919,0.1506
0.004985194896000001,1,55000.0,0.0482,[0],[1.12],1.3059,0.0792
0.01343989732,2,55000.0,0.0956,[ 0.   12.53],[1.94 1.34],1.3649,0.0515
0.000234645264,1,55000.0,0.0138,[0],[1.57],1.0121,0.0168
0.0,4,55000.0,0.0354,[ 0.    6.83 19.13 29.82],[1.83 1.67 1.17 1.15],1.1171,0.0
0.016325434688000004,2,55000.0,0.0632,[0.   8.67],[1.67 1.36],1.6972,0.0761
0.01923286728,1,55000.0,0.0916,[0],[1.31],2.194,0.0957
0.0014551574040000002,1,55000.0,0.0453,[0],[1.68],1.9587,0.0164
0.040318637712000005,4,55000.0,0.0353,[ 0.    9.38 22.95 30.43],[2.   1.01 1.29 1.37],1.4772,0.1933
0.024325613550000003,3,55000.0,0.0366,[ 0.   14.99 21.72],[1.67 1.14 1.86],1.1105,0.1995
0.000579074496,2,55000.0,0.0091,[ 0.   14.25],[1.24 1.03],1.1528,0.0276
0.017474850468,2,55000.0,0.0513,[0.   9.98],[1.46 1.54],1.6283,0.1046
0.0046554432000000005,2,55000.0,0.068,[ 0.   13.47],[1.34 1.78],1.678,0.0204
0.036900169415999995,4,55000.0,0.0618,[ 0.   12.67 23.76 29.84],[1.9  1.21 1.27 1.44],1.9667,0.0759
0.000749553532,1,55000.0,0.0026,[0],[1.26],2.1229,0.1358
0.009027042570000001,3,55000.0,0.0105,[ 0.   10.35 20.65],[1.47 1.63 1.59],2.4102,0.1189
0.011291861311999997,2,55000.0,0.0167,[ 0.   13.28],[1.9  1.05],1.7144,0.1972
0.014413918212,1,55000.0,0.0302,[0],[1.16],2.4781,0.1926
