ID,images,time origin,amplitude,redshift,noise level
0.001477144768,2.0,55000.0,0.0061,1.8656,0.0649
0.016770823679999998,4.0,55000.0,0.0205,1.8798,0.1088
0.0167060178,4.0,55000.0,0.0207,1.3017,0.155
0.00369869808,1.0,55000.0,0.033,1.2236,0.0916
0.007446819380000001,1.0,55000.0,0.0994,2.197,0.0341
0.011728678036,1.0,55000.0,0.0566,2.0578,0.1007
0.004834075418999999,1.0,55000.0,0.0139,2.1349,0.1629
0.0303535694,4.0,55000.0,0.0217,2.2561,0.155
0.012857796,1.0,55000.0,0.0788,1.85,0.0882
0.025869312699999997,4.0,55000.0,0.0175,1.8769,0.1969
0.011464767972,2.0,55000.0,0.0733,1.0953,0.0714
0.020330039256,4.0,55000.0,0.0229,2.0418,0.1087
0.020273211702,3.0,55000.0,0.0746,1.3263,0.0683
0.035273632471999994,2.0,55000.0,0.0806,2.2283,0.0982
0.0019729164,1.0,55000.0,0.01,1.5834,0.1246
2.8655445e-05,1.0,55000.0,0.0039,2.0993,0.0035
0.0046691764799999995,1.0,55000.0,0.0289,1.552,0.1041
0.024475736142000007,3.0,55000.0,0.0351,1.1847,0.1962
0.008751673728,4.0,55000.0,0.0188,1.5394,0.0756
0.04002030336,2.0,55000.0,0.082,1.4304,0.1706
0.016265787128,2.0,55000.0,0.0508,1.1411,0.1403
0.033210740976,4.0,55000.0,0.0588,2.0981,0.0673
0.04120155425199999,2.0,55000.0,0.0706,2.1503,0.1357
0.010430341488,3.0,55000.0,0.0144,2.3373,0.1033
0.018379357002000003,1.0,55000.0,0.0523,2.4103,0.1458
0.051045686999999985,3.0,55000.0,0.036,2.4553,0.1925
7.8638e-05,4.0,55000.0,0.0014,1.1234,0.0125
0.042775863174,2.0,55000.0,0.0759,1.7151,0.1643
0.06525819,4.0,55000.0,0.09,1.3785,0.1315
0.001317763584,1.0,55000.0,0.0177,1.6768,0.0444
0.014212099296,2.0,55000.0,0.0279,1.9179,0.1328
0.07724915729999998,3.0,55000.0,0.0619,2.485,0.1674
0.06927657165000001,3.0,55000.0,0.0969,2.3595,0.101
0.039878867364,3.0,55000.0,0.0359,1.9886,0.1862
0.0028901455200000003,4.0,55000.0,0.0051,1.214,0.1167
0.00617830416,1.0,55000.0,0.0756,2.1735,0.0376
0.008123029728000001,3.0,55000.0,0.0814,1.3096,0.0254
